FUN,BLInv1,BLInv2,BLInv3,BLInv4,BLInv5,BLInv6,BLNat1,BLNat2,BLNat3,BLNat4,BLNat5,BLNat6,CBInv1,CBInv2,CBInv3,CBNat1,CBNat2,CBNat3,CHInv1,CHInv3,CHInv4,CHInv5,CHNat1,CHNat2,CHNat3,CHNat4,CHNat5,CMInv1,CMInv2,CMInv3,CMNat1,CMNat2,CMNat3,CRInv1,CRInv2,CRInv3,CRNat1,CRNat2,CRNat3,PLBInv1,PLBNat1,Rt2Inv1,Rt2Inv2,Rt2Inv3,Rt2Nat1,Rt2Nat2,Rt2Nat3,SBInv1,SBNat1
60,1442025,1761603,1870952,1492326,2148844,2115211,228790,667502,1770062,2064535,1837055,565580,776992,448909,852882,398288,1778721,1585058,1121725,532813,895513,970384,582922,1349106,970175,1635264,869377,903384,895037,381378,1172560,1071890,550342,339349,819433,2423,970758,271972,541398,1054771,600888,196046,322422,1711275,70032,314281,684379,440527,280828
61,1339479,1636086,1737537,1386213,1995669,1964402,211958,620297,1643655,1916916,1705714,524794,721882,417451,792766,370614,1652020,1472324,1042051,495401,831771,901217,541443,1253245,901185,1518789,807920,839604,831841,354917,1089409,995928,511685,315484,761467,2320,901808,252906,503091,980069,558247,182726,299969,1589243,65760,292145,635698,409820,261559
62,1031858,1260462,1338654,1067898,1537556,1513486,163226,477757,1266396,1476934,1314203,404216,556092,321391,610536,285248,1272877,1134308,802695,381418,640981,694309,416998,965385,694158,1170083,622282,646492,640641,273075,839139,767251,393942,242935,586636,1686,694721,194734,387578,754873,430095,140471,230705,1224434,50327,224939,489656,315496,201269
63,1688040,2062184,2190197,1746818,2515440,2476086,267326,781304,2071975,2416466,2150282,661475,909609,525516,998311,466231,2082158,1855488,1313115,623602,1048226,1135871,682338,1579275,1135670,1914234,1017711,1057597,1047727,446460,1372669,1254845,644215,397220,959216,2777,1136360,318328,633780,1234803,703304,229471,377438,2003213,82032,367827,801102,515669,328672
64,1682632,2055397,2182750,1741455,2507130,2467852,266310,779190,2064894,2408179,2142870,659349,906836,524311,995816,465386,2075333,1849546,1309146,622367,1045066,1132261,680193,1574436,1132171,1908048,1015018,1054587,1044891,445707,1368368,1251148,642518,396261,956533,2860,1132882,317718,632027,1231095,701248,229546,376516,1996423,82338,366819,798448,514781,328363
65,1212293,1480926,1572767,1254599,1806414,1778148,192155,561273,1487959,1735441,1544190,475421,653296,377508,717232,335006,1495498,1332572,942975,447968,753005,815799,489941,1134103,815506,1374651,731017,759501,752620,320734,985874,901484,462844,285457,689125,2043,816230,228777,455360,886814,505358,164949,271145,1438646,59095,264327,575405,370590,236363
66,1783417,2178635,2313884,1845614,2657581,2615973,282565,825473,2189050,2553035,2271726,699083,960907,555080,1054850,492441,2199927,1960345,1387213,658822,1107460,1200015,720754,1668420,1199710,2022359,1075215,1117229,1107012,471603,1450158,1325871,680677,419566,1013467,2680,1200569,336265,669583,1304517,743052,242374,398572,2116506,86513,388499,846264,544857,347298
67,2377825,2904483,3084470,2460835,3542767,3487267,376385,1101217,2917873,3402925,3028037,931723,1281478,741163,1407413,657886,2932795,2613840,1849870,879427,1476399,1599878,961166,2224750,1599780,2696189,1434179,1490598,1476697,630116,1933899,1767986,908515,560178,1351784,3999,1601181,449039,893288,1739890,991036,324382,532144,2821392,116792,518470,1128167,727549,464378
68,85346,104252,110682,88294,127135,125130,13532,39533,104775,122093,108632,33423,45957,26593,50503,23590,105201,93755,66371,31544,53006,57432,34496,79809,57396,96745,51440,53465,52985,22587,69358,63435,32581,20091,48482,159,57457,16134,32049,62396,35594,11650,19072,101197,4147,18623,40500,26078,16651
69,17943,21921,23263,18581,26734,26308,2831,8318,22025,25661,22834,7017,9660,5590,10635,4959,22108,19703,13981,6666,11146,12089,7268,16806,12092,20354,10844,11242,11154,4766,14575,13328,6829,4220,10200,37,12074,3406,6739,13121,7463,2487,4016,21274,858,3891,8507,5497,3491
70,124399,151993,161428,128742,185422,182526,19716,57540,152718,178162,158523,48796,67037,38686,73544,34317,153500,136766,96746,45902,77205,83709,50247,116378,83669,141089,74976,77910,77186,32837,101154,92507,47469,29240,70692,152,83746,23415,46674,90984,51845,16834,27765,147655,6010,27104,59008,37972,24192
71,13528,16532,17562,14002,20171,19859,2135,6254,16613,19380,17244,5300,7284,4198,7995,3728,16701,14877,10521,4989,8392,9098,5458,12657,9096,15347,8147,8468,8390,3563,10997,10049,5161,3174,7696,6,9117,2542,5076,9892,5631,1821,3010,16064,642,2937,6418,4121,2621
72,171,209,222,177,255,251,27,80,210,245,218,67,92,53,101,47,211,188,133,64,106,116,69,160,115,194,103,107,106,45,140,127,65,40,97,0,115,32,64,125,71,23,38,203,8,37,81,52,33
