# Constructed from biom file
#OTU ID	BLInv1	BLInv2	BLInv3	BLInv4	BLInv5	BLInv6	BLNat1	BLNat2	BLNat3	BLNat4	BLNat5	BLNat6	CBInv1	CBInv2	CBInv3	CBNat1	CBNat2	CBNat3	CHInv1	CHInv3	CHInv4	CHInv5	CHNat1	CHNat2	CHNat3	CHNat4	CHNat5	CMInv1	CMInv2	CMInv3	CMNat1	CMNat2	CMNat3	CRInv1	CRInv2	CRInv3	CRNat1	CRNat2	CRNat3	PLBInv1	PLBNat1	Rt2Inv1	Rt2Inv2	Rt2Inv3	Rt2Nat1	Rt2Nat2	Rt2Nat3	SBInv1	SBNat1	KEGG_Pathways
Betalain biosynthesis	17943.0	21921.0	23263.0	18581.0	26734.0	26308.0	2831.0	8318.0	22025.0	25661.0	22834.0	7017.0	9660.0	5590.0	10635.0	4959.0	22108.0	19703.0	13981.0	6666.0	11146.0	12089.0	7268.0	16806.0	12092.0	20354.0	10844.0	11242.0	11154.0	4766.0	14575.0	13328.0	6829.0	4220.0	10200.0	37.0	12074.0	3406.0	6739.0	13121.0	7463.0	2487.0	4016.0	21274.0	858.0	3891.0	8507.0	5497.0	3491.0	Metabolism; Biosynthesis of Other Secondary Metabolites; Betalain biosynthesis
Bile secretion	6310.0	7711.0	8191.0	6533.0	9408.0	9262.0	997.0	2922.0	7748.0	9039.0	8043.0	2475.0	3401.0	1964.0	3733.0	1741.0	7791.0	6944.0	4906.0	2328.0	3914.0	4246.0	2546.0	5904.0	4243.0	7158.0	3801.0	3954.0	3918.0	1665.0	5132.0	4691.0	2418.0	1495.0	3593.0	5.0	4254.0	1188.0	2368.0	4617.0	2635.0	852.0	1409.0	7498.0	314.0	1375.0	2995.0	1927.0	1231.0	Organismal Systems; Digestive System; Bile secretion
Biosynthesis and biodegradation of secondary metabolites	242875.0	296686.0	314995.0	251358.0	361865.0	356178.0	38466.0	112512.0	298103.0	347541.0	309248.0	95154.0	130955.0	75734.0	143748.0	67261.0	299450.0	266901.0	189060.0	89969.0	151109.0	163532.0	98272.0	227338.0	163541.0	275435.0	146604.0	152228.0	150848.0	64407.0	197442.0	180577.0	92698.0	57258.0	138057.0	603.0	163478.0	45984.0	91290.0	177696.0	101341.0	33325.0	54550.0	288064.0	11873.0	53008.0	115431.0	74314.0	47412.0	Unclassified; Metabolism; Biosynthesis and biodegradation of secondary metabolites
Biosynthesis of 12-, 14- and 16-membered macrolides	428.0	522.0	555.0	442.0	638.0	628.0	68.0	198.0	525.0	612.0	545.0	168.0	230.0	134.0	252.0	118.0	528.0	470.0	332.0	158.0	267.0	288.0	172.0	400.0	288.0	485.0	258.0	268.0	265.0	112.0	347.0	318.0	162.0	106.0	245.0	1.0	288.0	80.0	160.0	313.0	177.0	58.0	98.0	508.0	20.0	92.0	204.0	137.0	83.0	Metabolism; Metabolism of Terpenoids and Polyketides; Biosynthesis of 12-, 14- and 16-membered macrolides
Biosynthesis of ansamycins	163901.0	200228.0	212645.0	169589.0	244238.0	240413.0	26017.0	75848.0	201195.0	234646.0	208805.0	64311.0	88316.0	51033.0	96899.0	45293.0	202159.0	180152.0	127499.0	60554.0	101956.0	110303.0	66265.0	153347.0	110285.0	185868.0	98800.0	102676.0	101718.0	43339.0	133250.0	121799.0	62534.0	38560.0	93162.0	312.0	110369.0	30929.0	61591.0	119884.0	68391.0	22287.0	36638.0	194470.0	7917.0	35771.0	77807.0	50041.0	31891.0	Metabolism; Metabolism of Terpenoids and Polyketides; Biosynthesis of ansamycins
Biosynthesis of siderophore group nonribosomal peptides	136017.0	166172.0	176448.0	140747.0	202675.0	199503.0	21713.0	62967.0	166978.0	194729.0	173270.0	53381.0	73359.0	42369.0	80435.0	37605.0	167741.0	149488.0	105862.0	50311.0	84726.0	91603.0	55051.0	127295.0	91578.0	154271.0	82056.0	85221.0	84418.0	35996.0	110585.0	101122.0	51850.0	32059.0	77300.0	318.0	91578.0	25712.0	51184.0	99500.0	56780.0	18585.0	30554.0	161378.0	6610.0	29664.0	64677.0	41543.0	26485.0	Metabolism; Metabolism of Terpenoids and Polyketides; Biosynthesis of siderophore group nonribosomal peptides
Biosynthesis of type II polyketide backbone	285.0	350.0	370.0	295.0	425.0	420.0	45.0	130.0	350.0	410.0	365.0	110.0	155.0	90.0	170.0	80.0	350.0	315.0	220.0	105.0	179.0	190.0	115.0	265.0	190.0	325.0	170.0	180.0	175.0	75.0	230.0	210.0	110.0	65.0	160.0	0.0	190.0	55.0	105.0	210.0	120.0	40.0	65.0	340.0	15.0	60.0	138.0	85.0	55.0	Metabolism; Metabolism of Terpenoids and Polyketides; Biosynthesis of type II polyketide backbone
Biosynthesis of type II polyketide products	3378.0	4129.0	4384.0	3496.0	5037.0	4960.0	532.0	1561.0	4149.0	4839.0	4307.0	1324.0	1817.0	1050.0	1994.0	928.0	4167.0	3714.0	2627.0	1245.0	2095.0	2274.0	1364.0	3160.0	2271.0	3832.0	2035.0	2113.0	2093.0	889.0	2746.0	2511.0	1286.0	790.0	1918.0	0.0	2273.0	632.0	1266.0	2469.0	1402.0	456.0	751.0	4010.0	159.0	731.0	1600.0	1030.0	653.0	Metabolism; Metabolism of Terpenoids and Polyketides; Biosynthesis of type II polyketide products
Biosynthesis of unsaturated fatty acids	756117.0	923656.0	980971.0	782497.0	1126690.0	1109069.0	119878.0	350049.0	927991.0	1082338.0	963138.0	296508.0	407511.0	235510.0	447309.0	209117.0	932701.0	831182.0	588285.0	279525.0	469596.0	508772.0	305675.0	707504.0	508786.0	857466.0	456005.0	473822.0	469403.0	200176.0	614870.0	562047.0	288685.0	178044.0	429822.0	1386.0	509138.0	142750.0	284026.0	553180.0	315123.0	102979.0	169260.0	897283.0	36810.0	164925.0	359002.0	231055.0	147367.0	Metabolism; Lipid Metabolism; Biosynthesis of unsaturated fatty acids
Biosynthesis of vancomycin group antibiotics	137642.0	168162.0	178597.0	142446.0	205125.0	201915.0	21824.0	63699.0	168964.0	197060.0	175347.0	53978.0	74142.0	42838.0	81404.0	37991.0	169774.0	151290.0	107070.0	50838.0	85444.0	92622.0	55627.0	128774.0	92598.0	156093.0	82981.0	86218.0	85423.0	36372.0	111904.0	102316.0	52499.0	32373.0	78216.0	191.0	92639.0	25937.0	51636.0	100673.0	57319.0	18694.0	30738.0	163316.0	6659.0	29963.0	65284.0	42051.0	26769.0	Metabolism; Metabolism of Terpenoids and Polyketides; Biosynthesis of vancomycin group antibiotics
Biotin metabolism	358254.0	437650.0	464766.0	370723.0	533787.0	525420.0	56763.0	165856.0	439766.0	512711.0	456226.0	140398.0	192919.0	111506.0	211907.0	98883.0	441722.0	393657.0	278677.0	132406.0	222466.0	241048.0	144827.0	335142.0	241012.0	406215.0	215961.0	224430.0	222371.0	94741.0	291187.0	266198.0	136661.0	84271.0	203568.0	595.0	241131.0	67571.0	134441.0	261986.0	149218.0	48788.0	80088.0	425014.0	17368.0	78005.0	170014.0	109420.0	69709.0	Metabolism; Metabolism of Cofactors and Vitamins; Biotin metabolism
Bisphenol degradation	311969.0	381067.0	404718.0	322904.0	464867.0	457594.0	49405.0	144464.0	382829.0	446528.0	397355.0	122383.0	168087.0	97191.0	184633.0	86329.0	384825.0	342924.0	242740.0	115411.0	193660.0	209924.0	126136.0	291961.0	209934.0	353793.0	188229.0	195485.0	193737.0	82617.0	253719.0	231925.0	119045.0	73436.0	177414.0	494.0	210055.0	58920.0	117126.0	228237.0	129913.0	42558.0	69774.0	370146.0	15147.0	68059.0	147999.0	95424.0	60861.0	Metabolism; Xenobiotics Biodegradation and Metabolism; Bisphenol degradation
